season	words
1	0.0
2	0.02
3	0.05
4	0.05
5	0.04
6	0.07
7	0.02
8	0.07
9	0.07
10	0.0
11	0.0
12	0.08
13	0.09
14	0.02
15	0.0
16	0.07
17	0.03
18	0.0
