season	words
1	0.32
2	0.16
3	0.37
4	0.0
5	1.12
6	0.0
7	0.11
8	0.31
9	0.0
10	0.0
11	1.0
12	0.0
13	0.12
14	0.83
15	0.43
16	1.77
17	1.09
18	2.23
