season	words
1	1.01
2	1.14
3	0.76
4	1.1
5	2.0
6	1.49
7	1.37
8	0.85
9	0.25
10	1.2
11	2.72
12	0.0
13	0.97
14	2.67
15	0.82
16	1.46
17	0.65
18	2.03
