season	words
1	0.48
2	0.16
3	0.25
4	0.3
5	0.12
6	0.0
7	0.11
8	0.31
9	0.15
10	0.13
11	0.0
12	0.0
13	0.12
14	0.42
15	0.29
16	0.25
17	0.0
18	0.0
