season	words
1	0.0
2	0.0
3	25.64
4	0.0
5	0.0
6	5.52
7	0.0
8	0.0
9	0.0
10	0.0
11	2.19
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	1.14
18	0.0
