season	words
1	3.2
2	2.69
3	1.74
4	4.25
5	1.49
6	1.36
7	0.45
8	1.38
9	0.88
10	0.92
11	0.85
12	1.17
13	0.58
14	1.87
15	0.57
16	0.88
17	0.54
18	1.03
