season	words
1	0.0
2	0.0
3	1.86
4	1.77
5	0.0
6	0.0
7	0.0
8	0.0
9	13.74
10	0.0
11	0.0
12	0.0
13	2.79
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
