season	words
1	1.49
2	0.22
3	0.7
4	0.46
5	0.59
6	0.43
7	0.8
8	0.23
9	0.46
10	0.25
11	0.33
12	0.13
13	1.63
14	0.24
15	0.0
16	0.19
17	0.22
18	0.12
