season	words
1	0.41
2	0.16
3	0.0
4	0.18
5	0.0
6	0.15
7	0.0
8	0.64
9	0.5
10	0.4
11	0.34
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.65
18	0.0
