season	words
1	0.23
2	0.16
3	0.23
4	0.0
5	0.84
6	0.27
7	1.53
8	1.84
9	0.6
10	0.32
11	0.93
12	0.41
13	0.42
14	0.49
15	0.33
16	0.0
17	0.0
18	0.33
