season	words
1	0.05
2	0.13
3	0.09
4	0.02
5	0.1
6	0.07
7	0.04
8	0.14
9	0.05
10	0.03
11	0.08
12	0.05
13	0.07
14	0.05
15	0.12
16	0.05
17	0.03
18	0.0
