character	episode	words	profanities
6	27	19.97	6.54
7	27	0.0	0
8	27	0.0	0
9	27	12.5	6.26
10	27	0.0	0
11	27	0.0	0
1	28	18.53	14.63
2	28	10.79	8.38
3	28	18.41	6.55
4	28	0.48	0
5	28	0.0	0
6	28	3.28	0
7	28	4.19	0
8	28	0.0	0
9	28	0.0	0
10	28	0.0	0
11	28	0.0	0
1	29	14.31	28.47
2	29	8.07	3.15
3	29	8.33	9.17
4	29	0.2	0
5	29	0.0	0
6	29	0.0	0
7	29	0.84	0
8	29	0.0	0
9	29	0.0	0
10	29	0.0	0
11	29	0.0	0
1	30	5.53	46.95
2	30	9.22	14.08
3	30	8.7	5.97
4	30	0.55	47.62
5	30	0.0	0
6	30	0.0	0
7	30	0.0	0
8	30	0.0	0
9	30	11.19	9.28
10	30	0.0	0
11	30	0.0	0
1	31	10.53	25.91
2	31	12.33	35.4
3	31	16.39	24.96
4	31	0.57	47.62
5	31	0.0	0
6	31	0.0	0
7	31	0.0	0
8	31	0.0	0
9	31	0.0	0
10	31	0.0	0
11	31	0.0	0
1	32	12.01	20.09
2	32	3.75	42.86
3	32	3.73	7.19
4	32	1.85	28.99
5	32	0.0	0
6	32	0.0	0
7	32	0.0	0
8	32	0.0	0
9	32	2.47	0
10	32	0.0	0
11	32	0.24	0
1	33	12.17	15.18
2	33	12.17	17.35
3	33	14.79	5.36
4	33	0.69	0
5	33	0.0	0
6	33	1.4	0
7	33	16.66	14.26
8	33	0.0	0
9	33	0.37	0
10	33	0.0	0
11	33	0.0	0
1	34	15.15	25.68
2	34	10.12	17.95
3	34	12.25	14.83
4	34	2.44	10.64
5	34	0.0	0
6	34	14.32	3.62
7	34	0.0	0
8	34	0.0	0
9	34	4.64	0
10	34	0.0	0
11	34	0.0	0
1	35	17.79	15.15
2	35	8.81	23.81
3	35	11.8	7.61
4	35	1.65	18.18
5	35	0.0	0
6	35	0.0	0
7	35	0.0	0
8	35	1.02	0
9	35	0.0	0
10	35	2.58	0
11	35	3.59	33.33
1	36	20.18	4.35
2	36	5.45	21.51
3	36	4.92	5.95
4	36	0.44	0
5	36	0.0	0
6	36	0.44	0
7	36	0.67	0
8	36	0.0	0
9	36	4.25	13.79
10	36	0.0	0
11	36	0.0	0
1	37	8.72	22.44
2	37	4.47	6.25
3	37	8.55	49.02
4	37	0.31	90.91
5	37	0.0	0
6	37	1.98	14.08
7	37	0.0	0
8	37	0.0	0
9	37	9.11	24.54
10	37	0.78	0
11	37	0.59	0
1	38	41.59	13.59
2	38	0.0	0
3	38	0.0	0
4	38	0.0	0
5	38	0.0	0
6	38	0.0	0
7	38	0.0	0
8	38	0.0	0
9	38	0.0	0
10	38	0.6	0
11	38	0.0	0
1	39	0.0	0
2	39	0.67	0
3	39	12.25	5.86
4	39	0.0	0
5	39	18.48	2.59
6	39	0.0	0
7	39	16.44	16.01
8	39	0.0	0
9	39	0.77	31.25
10	39	0.0	0
11	39	0.0	0
1	40	0.0	0
2	40	12.68	18.82
3	40	0.0	0
4	40	5.42	25.16
5	40	0.0	0
6	40	0.0	0
7	40	0.0	0
8	40	0.0	0
9	40	0.0	0
10	40	0.0	0
11	40	0.0	0
1	41	14.85	21.83
2	41	8.57	20.62
3	41	9.01	19.61
4	41	0.44	66.67
5	41	0.0	0
6	41	0.0	0
7	41	4.21	0
8	41	0.15	200.0
9	41	2.86	20.62
10	41	0.0	0
11	41	0.0	0
1	42	12.69	15.58
2	42	11.43	23.05
3	42	7.45	17.7
4	42	0.99	0
5	42	0.0	0
6	42	0.0	0
7	42	0.0	0
8	42	0.0	0
9	42	1.48	66.67
10	42	0.0	0
11	42	0.0	0
1	43	15.5	8.82
2	43	7.71	31.91
3	43	13.75	5.96
4	43	1.83	29.85
5	43	0.0	0
6	43	1.31	20.83
7	43	0.44	0
8	43	0.0	0
9	43	0.93	0
10	43	0.0	0
11	43	0.0	0
1	44	11.14	18.04
2	44	9.76	5.88
3	44	7.78	29.52
4	44	0.63	90.91
5	44	3.25	17.7
