season	profanities
1	21.48
2	14.21
3	16.55
4	15.47
5	19.29
6	12.8
7	7.54
8	13.6
9	8.21
10	6.81
11	6.45
12	7.35
13	17.09
14	18.29
15	21.77
16	6.13
17	15.71
18	11.7
