season	profanities
1	3.13
2	5.06
3	2.18
4	10.1
5	1.9
6	6.94
7	0
8	0.0
9	0
10	66.67
11	0.0
12	0
13	0
14	28.46
15	0
16	10.75
17	0
18	0
