season	profanities
1	9.56
2	3.41
3	25.64
4	2.64
5	40.0
6	44.2
7	27.78
8	20.41
9	6.67
10	0.0
11	0.0
12	21.45
13	10.16
14	3.64
15	33.33
16	0.0
17	8.0
18	5.35
