season	words	profanities
1	0.13	0.0
2	2.34	0.34
3	0.78	0.88
4	0.93	0.89
5	0.76	1.36
6	1.52	0.91
7	0.59	1.03
8	0.87	1.35
9	0.73	0.33
10	0.18	0.0
11	0.52	1.47
12	1.13	0.47
13	0.76	1.85
14	2.11	0.34
15	2.01	1.65
16	1.07	0.22
17	0.73	2.14
18	1.19	0.78
