season	profanities
1	10.87
2	29.04
3	13.94
4	3.54
5	29.1
6	2.84
7	4.42
8	37.59
9	30.22
10	7.38
11	0.0
12	2.48
13	5.57
14	22.22
15	17.11
16	4.76
17	9.11
18	17.24
