season	profanities
1	26.15
2	21.4
3	18.12
4	16.8
5	15.49
6	22.08
7	22.28
8	20.2
9	14.65
10	17.34
11	15.21
12	9.84
13	17.05
14	15.61
15	14.05
16	17.08
17	14.53
18	11.54
