season	words
1	0.0
2	0.0
3	0.0
4	0.32
5	1.53
6	0.66
7	0.55
8	0.89
9	0.5
10	0.12
11	0.25
12	0.37
13	0.0
14	0.0
15	0.21
16	0.29
17	0.0
18	0.08
