season	words	profanities
1	0.27	2.8
2	0.06	2.5
3	0.22	0.0
4	0.29	3.37
5	0.15	2.82
6	0.79	0.87
7	0.06	3.45
8	0.21	0.0
9	0.56	2.6
10	0.24	1.03
11	0.68	0.0
12	0.27	0.0
13	0.42	0.55
14	0.01	0.0
15	0.38	0.62
16	0.38	1.27
17	0.6	2.08
18	0.09	0.0
