season	words	profanities
1	0.38	1.31
2	0.01	0.0
3	0.32	2.67
4	2.04	1.05
5	0.0	0
6	0.0	0
7	0.0	0
8	0.0	0
9	0.33	0.74
10	1.82	0.55
11	0.0	0
12	0.0	0
13	0.0	0
14	0.0	0
15	0.0	0
16	0.0	0
17	0.0	0
18	1.27	3.17
