season	words	profanities
1	0.0	0
2	0.0	0
3	0.0	0
4	0.42	0.0
5	0.16	1.25
6	0.01	0.0
7	0.06	0.0
8	0.19	0.0
9	0.01	0.0
10	0.0	0.0
11	0.0	0
12	0.0	0
13	0.0	0
14	0.01	0.0
15	0.07	0.0
16	0.0	0.0
17	0.0	0
18	0.08	0.0
