season	words	profanities
1	1.44	0.52
2	1.09	0.58
3	0.88	0.59
4	1.01	0.65
5	0.13	0.0
6	0.58	0.88
7	0.35	0.0
8	0.61	0.77
9	0.19	0.0
10	1.7	0.0
11	0.46	0.55
12	0.33	0.0
13	0.03	0.0
14	0.51	0.0
15	0.97	0.73
16	0.18	0.0
17	0.18	0.0
18	0.16	0.0
