season	profanities
1	0
2	0
3	20.24
4	13.33
5	100.0
6	0.0
7	89.89
8	13.1
9	12.99
10	0.0
11	30.67
12	5.84
13	0.0
14	0.0
15	24.39
16	6.8
17	12.15
18	17.7
