season	words	profanities
1	0.24	0.0
2	0.26	1.23
3	0.16	1.1
4	0.25	1.32
5	0.08	4.88
6	0.92	1.49
7	0.17	2.38
8	0.5	2.79
9	0.43	0.0
10	0.0	0
11	0.62	0.0
12	0.34	1.54
13	0.05	9.52
14	0.0	0
15	0.0	0
16	0.08	0.0
17	0.2	0.0
18	0.0	0
