season	words	profanities
1	12.28	2.15
2	9.64	1.42
3	9.02	1.65
4	8.99	1.55
5	8.18	1.93
6	11.56	1.28
7	8.98	0.75
8	11.04	1.36
9	9.74	0.82
10	6.25	0.68
11	7.47	0.65
12	7.51	0.73
13	7.21	1.71
14	6.23	1.83
15	5.77	2.18
16	8.2	0.61
17	4.76	1.57
18	6.09	1.17
