season	profanities
1	22.61
2	12.44
3	11.58
4	5.57
5	13.3
6	45.98
7	11.36
8	0.0
9	16.67
10	36.81
11	32.26
12	0.0
13	0
14	26.79
15	0
16	0.0
17	0.0
18	0.0
