episode	character	value
1	Kyle	11
1	Cartman	5
1	Other	15
1	Cartman	12
1	Other	14
1	Cartman	1
1	Cartman	-1
1	Cartman	1
1	Cartman	7
1	Stan	19
1	Cartman	4
1	Kyle	8
1	Stan	8
1	Cartman	1
1	Wendy	4
1	Kyle	7
1	Kyle	-1
1	Kyle	10
1	Cartman	8
1	Cartman	-1
1	Cartman	2
1	Kyle	3
1	Stan	3
1	Stan	-1
1	Cartman	3
1	Stan	6
1	Kyle	-2
1	Kyle	1
1	Cartman	23
1	Cartman	-1
1	Cartman	7
1	Stan	4
1	Kyle	4
1	Stan	6
1	Cartman	12
1	Stan	10
1	Stan	-1
1	Cartman	4
1	Chef	31
1	Cartman	21
1	Cartman	-1
1	Cartman	1
1	Mr. Garrison	14
1	Other	7
1	Kyle	8
1	Stan	10
1	Kyle	44
1	Stan	1
1	Kyle	42
1	Stan	4
1	Kyle	3
1	Stan	3
1	Kyle	6
1	Kyle	-1
1	Kyle	11
1	Kyle	-1
1	Kyle	8
1	Stan	2
1	Kyle	9
1	Kyle	-1
1	Kyle	1
1	Kyle	-1
1	Kyle	1
1	Kyle	-1
1	Kyle	1
1	Kyle	-1
1	Kyle	1
1	Kyle	-1
1	Kyle	1
1	Kyle	-1
1	Stan	4
1	Stan	-1
1	Other	4
1	Kyle	11
1	Other	3
1	Other	13
1	Other	3
1	Kyle	13
1	Other	4
1	Other	29
1	Cartman	7
1	Other	12
1	Other	12
1	Other	10
1	Kyle	1
1	Other	15
1	Kyle	8
1	Other	3
1	Other	11
1	Cartman	13
1	Stan	7
1	Kyle	9
1	Other	7
1	Chef	9
1	Other	12
1	Chef	9
1	Kyle	12
1	Stan	5
1	Wendy	2
1	Stan	5
1	Wendy	1
1	Stan	1
1	Wendy	1
1	Stan	1
1	Wendy	5
1	Stan	1
1	Wendy	4
1	Stan	8
1	Wendy	3
1	Stan	11
1	Wendy	4
1	Stan	8
1	Stan	12
1	Kyle	6
1	Stan	12
1	Other	1
1	Other	40
1	Cartman	1
1	Stan	3
1	Kyle	14
1	Cartman	9
1	Stan	3
1	Cartman	19
1	Cartman	-1
1	Cartman	23
1	Stan	8
1	Cartman	7
1	Kyle	5
1	Cartman	4
1	Cartman	-1
2	Kyle	9
2	Stan	4
2	Cartman	5
2	Kyle	3
2	Stan	7
2	Cartman	29
2	Cartman	-1
2	Cartman	10
2	Cartman	-1
2	Cartman	4
2	Stan	8
2	Cartman	9
2	Kyle	13
2	Cartman	9
2	Stan	5
2	Cartman	5
2	Kyle	14
2	Kyle	-1
2	Cartman	1
2	Mr. Garrison	32
2	Wendy	6
2	Other	7
2	Mr. Garrison	17
2	Wendy	1
2	Cartman	1
2	Mr. Garrison	8
2	Cartman	1
2	Cartman	-1
2	Stan	11
2	Cartman	7
2	Mr. Garrison	14
2	Kyle	7
2	Cartman	6
2	Wendy	8
2	Kyle	6
2	Wendy	9
2	Cartman	14
2	Stan	11
2	Cartman	6
2	Cartman	-1
2	Cartman	13
2	Wendy	1
2	Mr. Garrison	19
2	Kyle	7
2	Mr. Garrison	8
2	Other	1
2	Mr. Garrison	7
2	Other	30
2	Other	11
2	Other	18
2	Other	5
2	Other	7
2	Other	22
2	Other	8
2	Other	6
2	Other	20
2	Other	8
2	Other	1
2	Other	3
2	Cartman	13
2	Wendy	4
2	Chef	3
2	Other	2
2	Chef	6
2	Other	1
2	Chef	15
2	Stan	10
2	Cartman	1
2	Chef	16
2	Kyle	6
2	Chef	29
2	Stan	4
2	Kenny	3
2	Kenny	-1
2	Kenny	2
2	Chef	8
2	Mr. Garrison	22
2	Other	15
2	Mr. Garrison	16
2	Other	12
2	Other	4
2	Other	2
2	Other	1
2	Other	2
2	Other	7
2	Other	2
2	Other	8
2	Other	10
2	Other	74
2	Mr. Garrison	12
2	Other	17
2	Mr. Garrison	10
2	Other	23
2	Cartman	4
2	Other	19
2	Mr. Garrison	7
2	Other	2
2	Mr. Garrison	2
2	Other	10
2	Mr. Garrison	18
2	Wendy	15
2	Other	20
2	Cartman	3
2	Other	19
2	Cartman	12
2	Cartman	10
2	Stan	12
2	Stan	-1
2	Stan	1
2	Cartman	12
2	Stan	6
2	Cartman	9
2	Stan	6
2	Cartman	10
2	Stan	7
2	Cartman	12
2	Cartman	-1
2	Stan	6
2	Cartman	11
2	Stan	16
2	Cartman	3
2	Other	10
2	Other	29
2	Cartman	6
2	Other	8
2	Cartman	1
2	Other	7
2	Other	-1
2	Other	39
2	Cartman	1
2	Other	1
2	Cartman	1
2	Other	1
2	Other	1
2	Cartman	1
2	Cartman	9
2	Other	10
2	Cartman	7
2	Other	6
2	Cartman	11
2	Other	13
2	Mr. Garrison	2
2	Other	2
2	Mr. Garrison	7
2	Other	1
2	Mr. Garrison	11
2	Other	7
2	Mr. Garrison	10
2	Cartman	2
2	Kyle	19
2	Cartman	16
2	Stan	7
2	Cartman	8
2	Kenny	7
2	Kyle	8
2	Cartman	15
2	Stan	3
2	Cartman	8
2	Kyle	4
2	Kyle	-1
2	Stan	1
2	Cartman	9
2	Cartman	-1
2	Cartman	22
2	Other	21
2	Other	1
2	Other	9
2	Mr. Garrison	13
2	Other	8
2	Mr. Garrison	24
2	Clyde	7
2	Mr. Garrison	8
2	Clyde	1
2	Mr. Garrison	4
2	Clyde	1
2	Mr. Garrison	6
2	Other	25
2	Other	5
2	Other	9
2	Other	3
2	Mr. Garrison	12
2	Other	12
2	Other	18
2	Mr. Garrison	13
2	Stan	5
2	Clyde	1
2	Other	16
2	Mr. Garrison	13
2	Other	9
2	Other	10
2	Other	11
2	Mr. Garrison	12
2	Kyle	6
2	Cartman	8
2	Kyle	9
2	Cartman	2
2	Cartman	-1
2	Cartman	4
2	Kyle	4
2	Kyle	-2
2	Kyle	10
2	Kyle	-1
2	Kyle	4
2	Kyle	-2
2	Kyle	1
2	Cartman	6
2	Other	1
2	Other	-1
2	Other	3
2	Other	-2
2	Cartman	1
2	Wendy	2
2	Cartman	6
2	Stan	3
2	Cartman	8
2	Wendy	12
2	Other	4
2	Mr. Garrison	5
2	Other	9
2	Mr. Garrison	1
2	Other	25
2	Mr. Garrison	15
2	Other	4
2	Mr. Garrison	12
2	Other	8
2	Mr. Garrison	21
2	Wendy	29
2	Mr. Garrison	37
2	Wendy	3
2	Other	5
2	Mr. Garrison	2
2	Other	4
2	Mr. Garrison	4
2	Other	2
2	Mr. Garrison	21
2	Other	13
2	Mr. Garrison	10
2	Other	12
2	Other	3
2	Cartman	15
2	Kyle	16
2	Wendy	7
2	Kyle	2
2	Wendy	11
2	Cartman	13
2	Wendy	4
2	Cartman	21
2	Wendy	23
2	Stan	15
2	Wendy	7
2	Kyle	5
2	Other	3
2	Mr. Garrison	-1
2	Mr. Garrison	16
2	Other	7
2	Other	4
2	Mr. Garrison	4
2	Mr. Garrison	-1
2	Mr. Garrison	13
2	Other	19
2	Chef	106
2	Other	1
2	Chef	6
2	Other	3
2	Chef	5
2	Other	8
2	Chef	6
2	Other	3
2	Chef	7
2	Wendy	15
2	Other	8
2	Mr. Garrison	20
2	Other	23
2	Other	-1
2	Other	9
2	Stan	2
2	Other	16
2	Cartman	2
2	Cartman	-1
2	Cartman	1
2	Other	9
2	Other	7
2	Stan	3
2	Mr. Garrison	9
2	Wendy	12
2	Mr. Garrison	3
2	Wendy	7
