season	profanities
1	17.03
2	13.23
3	5.48
4	13.92
5	25.64
6	10.89
7	22.58
8	4.39
9	25.0
10	39.47
11	0
12	0.0
13	0
14	0
15	0
16	0
17	0
18	0
