season	profanities
1	24.99
2	20.24
3	17.2
4	15.12
5	14.66
6	20.17
7	21.18
8	20.47
9	14.35
10	17.34
11	14.59
12	9.84
13	16.63
14	15.12
15	7.36
16	16.14
17	14.53
18	10.55
