season	words	profanities
1	0.9160837420029374	0.5434782608695652
2	2.006615214994487	0.15698587127158556
3	1.8464812177166097	0.8364312267657993
4	0.9353220653235552	0.35398230088495575
5	1.5490850972276295	2.513227513227513
6	0.6056226557929871	0.2840909090909091
7	0.9271985066360335	0.4424778761061947
8	0.3118698119401585	3.7593984962406015
9	0.8815480371025163	2.197802197802198
10	2.3724317425360995	0.7383966244725738
11	0.19797456788243356	0.0
12	1.0591327201051248	0.0
13	0.8352722196370405	0.2785515320334262
14	0.32042153232697235	2.2222222222222223
15	3.1883851683154223	1.5625
16	1.0054822723899357	0.47619047619047616
17	4.783244639467214	0.5855562784645413
18	0.3593222439054611	1.7241379310344827
