season	words	profanities
1	0.0	0
2	0.0	0
3	0.42386697098141507	2.0242914979757085
4	0.12415779628188786	0.0
5	0.040981087228244166	10.0
6	0.24431368500739822	0.0
7	0.1825678475455907	8.98876404494382
8	0.5369788491300473	0.4366812227074236
9	0.3729626310818338	1.2987012987012987
10	0.10510773542881453	0.0
11	0.8274321683291455	3.067484662576687
12	2.249671484888305	0.5841121495327103
13	0.12796649604467195	0.0
14	0.014240956992309883	0.0
15	0.6808530828173558	1.3937282229965158
16	0.35191879533647746	0.6802721088435374
17	0.7686801730308406	0.8097165991902834
18	0.3500294272527336	1.7699115044247788
