season	words	profanities
1	7.213979886488101	0.862663906142167
2	3.7548628939534736	1.1325503355704698
3	3.7735525277139033	1.9099590723055935
4	3.769368295589988	1.4492753623188406
5	3.2476846160150807	4.353312302839116
6	1.5415584192144245	1.8973214285714286
7	2.3282051282051284	1.6740088105726871
8	0.13131052594555304	1.7857142857142858
9	0.12109176333825773	4.0
10	0.0	0
11	0.0	0
12	1.072245144674253	0.49019607843137253
13	0.20008841115841883	0.0
14	0.8069684095602022	0.29411764705882354
15	0.3439768467998292	1.3793103448275863
16	0.5817293881068658	0.0
17	0.20538992966950892	0.0
18	0.9137653326725312	1.0169491525423728
