season	words	profanities
1	0.11948918373951357	0.0
2	0.07402740589069144	0.0
3	0.0669263638391708	2.5641025641025643
4	0.1390567318357144	0.0
5	0.012294326168473249	0.0
6	0.0395719348955645	0.0
7	0.045129130853966234	9.090909090909092
8	0.0	0
9	0.0799205638032501	6.0606060606060606
10	0.24274881753797642	3.0927835051546393
11	0.0	0
12	0.03153745072273324	0.0
13	0.6584457887389483	1.0600706713780919
14	0.01661444982436153	0.0
15	0.07828624297203046	6.0606060606060606
16	0.02154604869407005	0.0
17	1.2541623875766346	3.4739454094292803
18	0.024780844407273177	0.0
