season	words	profanities
1	0.24395708346817355	0.0
2	0.25515829264451095	1.2345679012345678
3	0.15616151562473188	1.098901098901099
4	0.24997102984753422	1.3245033112582782
5	0.08401122881790053	4.878048780487805
6	0.9221981349575031	1.492537313432836
7	0.172311226896962	2.380952380952381
8	0.5041504478731885	2.7906976744186047
9	0.4335085127509627	0.0
10	0.0	0
11	0.619305058504023	0.0
12	0.3416557161629435	1.5384615384615385
13	0.048859934853420196	4.761904761904762
14	0.0	0
15	0.0	0
16	0.08379018936582797	0.0
17	0.2022842560607475	0.0
18	0.0	0
