season	words	profanities
1	15.548530034104205	2.97790585975024
2	9.968498976216727	2.1804392479064623
3	13.824584284316922	1.7626613704071499
4	16.37227473637161	1.5166835187057635
5	16.472348011392743	1.5424804080109467
6	15.212828188981797	1.9678805700067858
7	18.107038093089088	1.2801631358332388
8	15.276931013459645	1.9953952417498082
9	16.582306071541012	1.694172630349058
10	19.009484721839886	1.4349657714586626
11	17.820249244904694	2.449793476712719
12	15.734559789750328	1.7370970435944546
13	20.14657980456026	1.6514609077260654
14	11.414127029336372	2.1418174256602205
15	16.618034303608283	1.5560314061384726
16	18.972492877833904	2.5615141955835963
17	17.184825568729966	1.1590003621876133
18	18.09621162841124	2.1739130434782608
