season	profanities
1	4.12
2	6.64
3	15.27
4	2.12
5	18.95
6	14.06
7	8.71
8	7.27
9	6.02
10	5.62
11	11.46
12	13.25
13	9.41
14	12.18
15	16.01
16	7.83
17	12.77
18	7.79
