season	words	profanities
1	0.6048989345813004	0.411522633744856
2	1.1859948654139958	0.398406374501992
3	2.9224010708034456	1.291837933059307
4	1.5593961064759634	0.0
5	0.9732808786165068	1.6842105263157894
6	3.915833663093784	1.3620386643233744
7	4.002051282051282	0.7175807278318811
8	3.226487208947874	0.5087209302325582
9	6.030369814245235	0.4819277108433735
10	3.1156156156156154	0.4819277108433735
11	5.535532994923858	1.1462631820265934
12	4.7620299072297705	1.2693156732891833
13	5.437286242758428	0.6846384253316218
14	7.015878290176346	1.0487144790257104
15	5.185747497271908	1.5096065873741995
16	5.1996552714737145	0.7826887661141805
17	4.387875770212236	1.1347517730496455
18	7.9544046586544415	0.778816199376947
