season	words	profanities
1	0.0	0
2	0.007875131908459466	0.0
3	1.6302296049696263	0.3157894736842105
4	1.7762548006886505	0.9319664492078286
5	4.376690435210229	0.6086142322097379
6	7.394663042169193	0.604932526756631
7	3.7333333333333334	0.38461538461538464
8	6.157525734518255	0.456968773800457
9	2.976435542854375	0.5695687550854354
10	1.5765765765765767	0.9523809523809523
11	3.3680203045685277	0.7535795026375283
12	5.116816903629339	1.5408320493066257
13	6.346990530699611	1.7961876832844574
14	2.8125222509671755	1.0970464135021096
15	3.7956065853774255	0.5
16	6.032749209997127	0.47619047619047616
17	5.937636148627622	0.6813417190775681
18	4.3984636352372695	0.9154929577464789
