season	words	profanities
1	1.59	0.31
2	0.62	0.25
3	1.57	0.22
4	0.33	1.01
5	1.08	0.19
6	0.25	0.69
7	0.0	0
8	0.02	0.0
9	0.0	0
10	0.04	6.67
11	0.61	0.0
12	0.0	0
13	0.0	0
14	0.58	2.85
15	0.0	0
16	1.11	0.86
17	0.0	0
18	0.0	0
