season	words	profanities
1	0.9309967141292442	3.7433155080213902
2	0.7292372147233466	3.67170626349892
3	1.1342965988262348	3.02571860816944
4	0.7979075619123295	2.904564315352697
5	0.3442340791738382	4.761904761904762
6	0.06021712575056346	5.714285714285714
7	0.3343589743589744	1.8404907975460123
8	0.31420732994114475	2.2388059701492535
9	0.21796517400886392	5.555555555555555
10	0.12512512512512514	6.0
11	0.1649746192893401	7.6923076923076925
12	0.6254763343933142	7.142857142857143
13	0.7375351899676601	4.416403785488959
14	0.36550922080079745	12.337662337662337
15	0.1850358210371495	3.8461538461538463
16	1.1060040218328067	2.1645021645021645
17	0.37032426713138733	1.680672268907563
18	0.3469210754553339	5.357142857142857
