season	words	profanities
1	0.0	0
2	0.0	0
3	0.012012424278825528	14.285714285714286
4	0.16388829109209196	4.040404040404041
5	1.4978587381923243	0.0
6	0.3492653384260693	0.49261083743842365
7	0.25641551621571723	1.6
8	0.4338038737513483	0.0
9	0.4771015475527355	0.5076142131979695
10	0.02752821642183238	0.0
11	0.461940658392345	0.0
12	0.010512483574244415	0.0
13	0.08143322475570032	0.0
14	0.0	0
15	0.19452945223353024	1.2195121951219512
16	0.98872423451677	1.4527845036319613
17	0.3921202502100644	3.9682539682539684
18	0.0588545054672738	5.2631578947368425
