season	words	profanities
1	100.0	1.5259764506733713
2	100.0	1.0678847062529533
3	100.0	1.2424278825528117
4	100.0	0.9485655635936232
5	100.0	1.3667192590619428
6	100.0	1.1544681876053817
7	100.0	0.931301154895485
8	100.0	1.1677531304225484
9	100.0	1.0874040347775544
10	100.0	0.8884106208864085
11	100.0	1.2563770654077515
12	100.0	0.9802890932982917
13	100.0	1.5937645416472779
14	100.0	1.2603246938194246
15	100.0	1.3023984058074158
16	100.0	1.1491225970170693
17	100.0	1.0643263934273177
18	100.0	1.05318588730911
