season	words	profanities
1	7.75	1.7
2	3.81	1.32
3	1.57	0.55
4	2.62	1.39
5	1.6	2.56
6	1.74	1.09
7	1.27	2.26
8	1.07	0.44
9	0.1	2.5
10	0.57	3.95
11	0.0	0
12	0.02	0.0
13	0.0	0
14	0.0	0
15	0.0	0
16	0.0	0
17	0.0	0
18	0.0	0
