season	words	profanities
1	2.603868462323567	0.8604206500956023
2	0.4614899984249488	0.3412969283276451
3	0.0669263638391708	2.5641025641025643
4	1.253166023805188	0.26420079260237783
5	0.20490543614122084	4.0
6	0.3114139224390076	4.419889502762431
7	0.07384766867012657	2.7777777777777777
8	0.5744970219950288	2.0408163265306123
9	0.3632752900147732	0.0
10	0.002502565129257489	0.0
11	1.1573897814665346	0.0
12	1.592641261498029	2.145214521452145
13	1.1447184737087017	1.016260162601626
14	0.652710528814203	0.36363636363636365
15	0.28467724717101983	1.6666666666666667
16	0.0694261569031146	0.0
17	2.7230572931254473	0.8
18	1.1585044760400212	0.26737967914438504
