season	words	profanities
1	0.26635467489793885	2.803738317757009
2	0.06300105526767573	2.5
3	0.22480008236949583	0.0
4	0.29466295854853664	2.808988764044944
5	0.14547987869846735	2.816901408450704
6	0.7931455706002787	0.8676789587852495
7	0.059487179487179485	3.4482758620689653
8	0.21337960466152367	0.0
9	0.5594439466227508	1.7316017316017316
10	0.24274274274274274	1.0309278350515463
11	0.6802030456852792	0.0
12	0.26543323434338123	0.0
13	0.42344291663758404	0.5494505494505495
14	0.009493745994825909	0.0
15	0.38193291265360346	0.6211180124223602
16	0.37584985157521783	1.2738853503184713
17	0.5974979772203897	2.0833333333333335
18	0.09292528806839301	0.0
