season	words
1	0.96
2	0.0
3	0.0
4	1.32
5	0.0
6	5.52
7	0.0
8	8.16
9	0.0
10	0.0
11	0.0
12	1.65
13	4.07
14	0.0
15	0.0
16	0.0
17	1.14
18	0.0
