season	words
1	0.02
2	0.19
3	0.15
4	0.05
5	0.06
6	0.12
7	0.06
8	0.21
9	0.02
10	0.03
11	0.1
12	0.24
13	0.23
14	0.88
15	0.45
16	0.29
17	0.53
18	0.37
