season	words
1	33.46
2	24.49
3	19.99
4	20.02
5	17.91
6	21.15
7	13.25
8	21.49
9	17.82
10	15.4
11	25.49
12	18.71
13	17.44
14	23.5
15	16.42
16	26.5
17	12.13
18	23.11
