season	words
1	0.16
2	0.79
3	0.74
4	0.2
5	0.5
6	0.68
7	0.68
8	0.15
9	0.44
10	0.26
11	0.0
12	0.0
13	0.35
14	0.0
15	0.0
16	0.0
17	0.0
18	0.17
