episode	words
80	4.98
81	0.0
82	0.0
83	0.26
84	0.64
85	0.0
86	0.29
87	0.61
88	0.0
89	0.0
90	0.0
91	0.89
92	0.3
93	1.2
94	0.27
95	0.0
96	0.0
