word	count
retards	1
sexual	1
ho	1
shit	3
sex	14
fuckin	1
jewish	2
fuck	2
bastard	1
bullshit	1
homo	1
damned	3
fat	4
damn	4
boobs	3
jew	3
uloveboobs	3
pussy	1
fucking	7
ass	1
bitch	5
jews	1
fucked	3
