character	episode	words	profanities
7	27	0.0	0
8	27	0.0	0
9	27	12.14	8.73
10	27	0.0	0
11	27	0.0	0
1	28	18.6	14.8
2	28	10.86	8.45
3	28	18.36	5.0
4	28	0.49	0
5	28	0.0	0
6	28	3.27	0
7	28	4.22	0
8	28	0.0	0
9	28	0.0	0
10	28	0.0	0
11	28	0.0	0
1	29	14.1	31.08
2	29	8.09	3.18
3	29	8.4	9.2
4	29	0.21	0
5	29	0.0	0
6	29	0.0	0
7	29	0.85	0
8	29	0.0	0
9	29	0.0	0
10	29	0.0	0
11	29	0.0	0
1	30	5.58	46.95
2	30	9.3	14.08
3	30	8.78	2.99
4	30	0.55	47.62
5	30	0.0	0
6	30	0.0	0
7	30	0.0	0
8	30	0.0	0
9	30	11.19	9.37
10	30	0.0	0
11	30	0.0	0
1	31	10.55	26.25
2	31	12.4	33.48
3	31	16.45	25.25
4	31	0.58	47.62
5	31	0.0	0
6	31	0.0	0
7	31	0.0	0
8	31	0.0	0
9	31	0.0	0
10	31	0.0	0
11	31	0.0	0
1	32	11.99	20.55
2	32	3.83	35.71
3	32	3.78	7.25
4	32	1.83	29.85
5	32	0.0	0
6	32	0.0	0
7	32	0.0	0
8	32	0.0	0
9	32	2.38	0
10	32	0.0	0
11	32	0.25	0
1	33	12.15	15.42
2	33	12.31	17.39
3	33	14.93	3.58
4	33	0.7	0
5	33	0.0	0
6	33	1.39	0
7	33	16.4	14.68
8	33	0.0	0
9	33	0.37	0
10	33	0.0	0
11	33	0.0	0
1	34	15.12	26.0
2	34	10.19	15.42
3	34	12.29	14.93
4	34	2.46	10.64
5	34	0.0	0
6	34	14.38	3.64
7	34	0.0	0
8	34	0.0	0
9	34	4.64	0
10	34	0.0	0
11	34	0.0	0
1	35	18.02	18.68
2	35	8.93	17.12
3	35	12.02	5.09
4	35	1.62	18.87
5	35	0.0	0
6	35	0.0	0
7	35	0.0	0
8	35	1.04	0
9	35	0.0	0
10	35	2.6	0
11	35	3.67	33.33
1	36	20.1	4.44
2	36	5.47	16.3
3	36	5.0	11.9
4	36	0.39	0
5	36	0.0	0
6	36	0.45	0
7	36	0.68	0
8	36	0.0	0
9	36	4.22	21.13
10	36	0.0	0
11	36	0.0	0
1	37	8.63	22.88
2	37	4.48	6.29
3	37	8.63	49.02
4	37	0.28	100.0
5	37	0.0	0
6	37	1.97	14.29
7	37	0.0	0
8	37	0.0	0
9	37	9.05	24.92
10	37	0.79	0
11	37	0.56	0
1	38	41.34	16.42
2	38	0.0	0
3	38	0.0	0
4	38	0.0	0
5	38	0.0	0
6	38	0.0	0
7	38	0.0	0
8	38	0.0	0
9	38	0.0	0
10	38	0.61	0
11	38	0.0	0
1	39	0.0	0
2	39	0.68	0
3	39	12.3	0
4	39	0.0	0
5	39	18.52	0
6	39	0.0	0
7	39	16.49	16.15
8	39	0.0	0
9	39	0.75	32.26
