word	count
fuck	52
shit	38
hell	31
cock	22
fucking	19
dick	13
fuckin	12
damn	11
balls	11
ass	10
bitch	10
asshole	8
douchebag	7
boner	7
crap	7
fat	7
hash	6
sex	5
damned	5
transginger	4
pussy	4
lame	4
raped	4
gay	4
cisginger	4
poppycock	3
dicks	3
bullshit	3
butthole	3
jew	3
sexual	3
damnit	3
goddamnit	3
crotch	3
penis	3
ho	3
bitches	2
rectal	2
crippled	2
titties	2
nuts	2
cisgingers	2
vagina	2
freak	2
tits	2
assholes	2
asses	2
bastard	2
vaginal	2
transgingers	1
shitty	1
fart	1
crack	1
ginger	1
fuckup	1
horny	1
molesting	1
queefs	1
sexually	1
boobie	1
motherfucker	1
poo	1
jewy	1
boners	1
queef	1
gaywads	1
shitter	1
bastards	1
titty	1
horseshit	1
butt	1
boobs	1
badass	1
douchebags	1
ballsboner	1
goddamned	1
scumbag	1
analogy	1
horsedick	1
fatso	1
