word	count
shit	133
hell	64
goddamnit	36
sex	32
ass	31
gay	29
asshole	23
fag	21
shitty	19
condom	16
ho	15
vagina	14
condoms	13
sexual	13
balls	12
fat	11
gays	11
penis	11
damn	11
crap	11
jew	11
bastards	9
damnit	8
goddamned	8
meecrob	7
fuck	7
bitch	6
sonofabitch	6
fart	6
lame	5
cripple	5
farted	5
homosexual	5
pube	5
dumbass	5
goddamn	5
sexually	5
fagshitty	4
shits	4
asses	4
drugs	4
pussy	4
damned	4
fuckin	3
jews	3
assholes	3
whore	3
gayass	3
nuts	3
jewish	3
poop	3
assfleck	3
goddammit	3
buttocks	3
jerk	2
crack	2
craphole	2
gaywad	2
smartass	2
anus	2
fucking	2
butt	2
molester	2
shitforbrains	2
homosexuals	2
shity	2
farting	2
homogenized	2
retard	2
crappy	2
butts	2
slut	2
douche	2
jackass	2
bastard	2
homosexuality	2
vaginal	2
scumbag	1
motherfucker	1
assfaces	1
dickface	1
fagshitter	1
dammit	1
bitchscare	1
homophobes	1
woodcock	1
molest	1
fatasss	1
scrotum	1
looongass	1
cocksucking	1
jizzfest	1
bitches	1
titty	1
freak	1
sluts	1
prick	1
drug	1
jewboy	1
smartasses	1
gaass	1
bullshitting	1
cock	1
fatso	1
stinky	1
bullcrap	1
queer	1
goddamnnit	1
asssniffin	1
crackerass	1
boner	1
assface	1
shitthe	1
classes	1
fartface	1
homophobe	1
penisbiting	1
bullshit	1
motherfuckerrrs	1
tits	1
asscheeks	1
fuckers	1
fireballs	1
ginger	1
gaymo	1
