season	words	profanities
1	0.88	0.28
2	0.52	0.3
3	0.26	0.0
4	0.57	1.46
5	0.24	5.93
6	0.52	1.32
7	0.26	0.78
8	0.21	0.0
9	0.03	0.0
10	0.55	0.0
11	0.21	0.0
12	1.41	0.37
13	0.44	1.59
14	0.09	0.0
15	1.05	0.45
16	0.12	0.0
17	0.29	0.0
18	1.2	0.0
