season	words	profanities
1	7.21	1.28
2	3.75	1.59
3	3.77	2.27
4	3.77	1.76
5	3.25	4.54
6	1.54	1.9
7	2.33	2.03
8	0.13	1.79
9	0.12	4.0
10	0.0	0
11	0.0	0
12	1.07	0.74
13	0.2	0.0
14	0.81	0.59
15	0.34	1.38
16	0.58	0.0
17	0.21	0.0
18	0.91	2.03
