season	words	profanities
1	0.0	0
2	0.0	0
3	0.01	0.0
4	0.0	0
5	1.63	2.02
6	0.79	0.65
7	2.87	1.93
8	3.11	1.51
9	2.93	2.15
10	0.15	1.67
11	0.18	4.23
12	0.73	2.17
13	1.92	2.18
14	0.64	0.37
15	2.2	0.0
16	0.23	1.04
17	0.59	1.58
18	1.59	0.2
