season	profanities
1	26.15
2	21.72
3	18.12
4	16.32
5	15.28
6	22.63
7	21.84
8	20.47
9	14.65
10	17.34
11	14.59
12	9.84
13	17.05
14	16.1
15	13.38
16	16.45
17	14.53
18	11.87
