season	words	profanities
1	0.02	0.0
2	0.17	4.76
3	0.03	0.0
4	0.06	0.0
5	1.75	0.47
6	0.14	0.0
7	0.07	0.0
8	1.99	0.12
9	0.0	0
10	0.24	2.06
11	0.67	0.75
12	0.07	0.0
13	0.0	0
14	0.38	0.0
15	2.66	0.8
16	2.26	1.06
17	0.75	1.24
18	0.0	0
