season	profanities
1	19.14
2	15.34
3	15.53
4	12.81
5	16.09
6	14.13
7	11.16
8	13.62
9	12.96
10	10.49
11	14.09
12	11.46
13	18.99
14	14.88
15	15.82
16	12.62
17	12.35
18	12.24
