season	words	profanities
1	10.76	2.61
2	9.57	2.17
3	7.48	1.81
4	6.9	1.63
5	9.79	1.53
6	6.31	2.26
7	9.39	2.18
8	8.94	2.05
9	8.1	1.46
10	7.94	1.73
11	8.18	1.46
12	6.41	0.98
13	5.6	1.7
14	4.87	1.61
15	7.09	1.34
16	7.71	1.65
17	6.42	1.45
18	9.39	1.19
